cust_id,cust_name,dob,gender,account_no,account_type,branch_code,balance,currency,txn_id,txn_amount,txn_type,txn_date,loan_id,loan_amount,loan_status,interest_rate,credit_score,email,city,state,country
1102,,09-16-21,M,51434749,current,,14086.78106,INR,250862,8535.063371,CR,10-31-22,5792,163827.4818,,11.40030388,846,invalid,,DL,India
1435,,03-24-20,M,51835879,SAV,,11465.33406,INR,682943,12123.50933,,10-28-20,5883,105087.9176,closed,14.39260229,522,invalid,Mumbai,,USA
1860,Sneha,03-25-23,Female,42469247,saving,BR02,81866.72572,USD,815003,36183.8851,credit,01-01-20,7539,248843.9798,,5.019319143,679,,,MH,
1270,John ,07-10-21,Female,69171413,CUR,BR02,-598.9022448,,717736,38656.11156,CR,08-25-22,6212,238010.3534,,12.25771047,462,,,MH,India
1106,Rahul,02-29-20,Male,23689493,saving,,39014.20197,,278446,14021.39761,credit,12-19-23,6601,450752.8097,active,11.57065183,353,test@gmail.com,Pune,DL,USA
1071,John ,10-02-22,F,78374762,saving,BR01,12661.38386,,798267,46829.17616,CR,04-09-22,5809,17369.97372,,12.32304192,441,,,DL,
1700,Alice,05-01-22,,93027288,saving,,87329.67265,USD,281143,14387.76308,credit,06-22-23,5960,159939.7883,,8.554054068,629,invalid,Delhi,,
1020,Sneha,09-13-22,,45674971,current,,53489.25389,,744795,36310.16211,CR,05-08-23,5419,298328.946,,13.20496445,330,test@gmail.com,Pune,,
1614,John ,04-08-22,,61212060,,,19294.96682,,396956,19032.63587,DR,01-21-23,8320,302400.8809,closed,5.447069314,798,,Delhi,MH,India
1121,Bob,11-21-21,Male,49501580,current,,47754.86515,,936002,43851.93959,debit,02-20-21,8659,240063.1145,,12.55431101,626,test@gmail.com,Pune,,USA
1466,,07-07-23,Female,46785617,current,,71806.06777,,413045,44465.67462,DR,06-05-22,7696,407832.7704,,7.670719413,403,,Mumbai,,
1214,Alice,06-20-21,Male,70961537,saving,,95602.39094,,160186,-4754.991528,credit,01-22-20,6187,31361.08571,,9.768377749,891,,Mumbai,MH,India
1330,Sneha,07-16-22,,38899868,current,BR02,18146.83045,INR,222066,46189.59988,,03-23-20,8816,407743.8828,active,13.22636272,820,invalid,Mumbai,,
1458,John ,04-26-23,F,41052238,saving,,88049.08607,,490508,39532.09049,DR,01-31-23,6278,247377.1202,,7.713590352,489,invalid,,DL,India
1087,Rahul,01-11-20,M,32700314,,,93101.93199,,805611,37478.64286,debit,06-08-23,7523,66880.34754,,6.852075116,623,test@gmail.com,Mumbai,,USA
1372,Bob,06-29-20,Female,94370894,CUR,BR02,91224.15718,USD,820531,2054.680381,credit,02-09-24,8877,442850.9568,,11.81313185,453,,Pune,DL,
1099,Bob,05-10-23,Female,35137138,saving,BR01,61718.50747,,136160,38307.15253,DR,05-09-23,6440,324614.3898,,10.33394892,860,,Mumbai,,
1871,John ,01-18-24,Male,70350924,,,61131.16872,,119156,41007.96408,CR,11-23-22,7217,81772.84341,active,10.14403869,599,,Pune,MH,India
1663,,03-17-23,Female,40779669,CUR,,37337.11648,INR,176208,7349.020067,,12-13-22,6340,16824.8617,active,7.567695155,392,,Delhi,MH,India
1130,John ,09-04-23,,57189674,SAV,BR01,74001.77764,,573196,47135.6047,credit,08-25-20,7221,70554.82417,,5.348803058,438,test@gmail.com,,,
1661,Alice,08-07-23,,45154340,saving,,50785.87193,USD,565536,-7008.391216,DR,11-25-23,7517,304398.9801,closed,9.102691383,521,test@gmail.com,Delhi,DL,India
1308,John ,07-23-20,Male,45908279,saving,,66130.99748,,773289,-1005.444805,credit,04-08-23,7392,89648.11763,closed,6.065594805,781,,Delhi,MH,India
1769,Bob,03-13-20,,88127618,SAV,BR01,39988.0799,USD,559822,22254.86828,CR,12-05-23,7492,112881.5374,closed,14.05989151,549,invalid,Mumbai,,India
1343,Sneha,10-15-23,F,80001342,SAV,BR01,71807.12872,USD,331226,24547.54827,debit,01-02-21,6041,12569.86288,closed,5.412503235,675,,Mumbai,DL,
1491,John ,03-06-23,Male,62315765,saving,,81569.50935,USD,555775,28709.005,DR,08-16-20,6093,361465.3361,,9.316508542,295,,Mumbai,MH,
1413,,01-04-21,F,20831890,SAV,BR02,10375.80694,,547421,-8981.852241,credit,12-04-22,6361,405182.1999,active,5.522455837,344,test@gmail.com,Delhi,,USA
1805,Sneha,09-15-21,M,15949852,current,BR02,82457.62014,,866054,47622.00648,credit,06-01-23,7675,398424.0884,,5.955438746,313,,,,India
1385,Rahul,02-08-22,F,10029725,CUR,BR01,51731.13584,USD,561691,-7324.714436,credit,01-27-22,5591,63784.07568,,11.58866667,662,test@gmail.com,,MH,USA
1191,NULL,02-21-23,M,73019115,CUR,BR01,83689.92045,,819701,-1416.282837,debit,02-08-20,5526,451650.5637,,11.47111261,892,invalid,Delhi,,
